web-scraper-order,web-scraper-start-url,party,won,won-href,leading,total,Sno,constituency,constituency-href,winning_candidate,total_votes,margin,name,status,party_name
"1719855970-1","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","7","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-743.htm","0","240","1","Ladakh(1)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-U091.htm","RAJESH RANJAN ALIAS PAPPU YADAV","567556","23847","MOHMAD HANEEFA","won
                            65259 (+ 27862)","Independent"
"1719855972-2","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","7","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-743.htm","0","240","1","BARAMULLA(1)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-U081.htm","RAJESH RANJAN ALIAS PAPPU YADAV","567556","23847","ABDUL RASHID SHEIKH","won
                            472481 (+ 204142)","Independent"
"1719855974-3","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","7","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-743.htm","0","240","1","Daman & Diu (1)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-U031.htm","RAJESH RANJAN ALIAS PAPPU YADAV","567556","23847","PATEL UMESHBHAI BABUBHAI","won
                            42523 (+ 6225)","Independent"
"1719855976-4","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","7","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-743.htm","0","240","1","Faridkot(9)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S199.htm","RAJESH RANJAN ALIAS PAPPU YADAV","567556","23847","SARABJEET SINGH KHALSA","won
                            298062 (+ 70053)","Independent"
"1719855978-5","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","7","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-743.htm","0","240","1","Khadoor Sahib(3)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S193.htm","RAJESH RANJAN ALIAS PAPPU YADAV","567556","23847","AMRITPAL SINGH","won
                            404430 (+ 197120)","Independent"
"1719855980-6","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","7","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-743.htm","0","240","1","Sangli(44)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1344.htm","RAJESH RANJAN ALIAS PAPPU YADAV","567556","23847","VISHAL (DADA) PRAKASHBAPU PATIL","won
                            571666 (+ 100053)","Independent"
"1719855982-7","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","7","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-743.htm","0","240","1","Purnia(12)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0412.htm","RAJESH RANJAN ALIAS PAPPU YADAV","567556","23847","RAJESH RANJAN ALIAS PAPPU YADAV","won
                            567556 (+ 23847)","Independent"
"1719855987-8","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","1","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-118.htm","0","240","1","Hyderabad(9)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S299.htm","ASADUDDIN OWAISI","661981","338087","ASADUDDIN OWAISI","won
                            661981 (+ 338087)","All India Majlis-E-Ittehadul Muslimeen"
"1719855993-9","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","1","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-160.htm","0","240","1","Giridih(6)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S276.htm","CHANDRA PRAKASH CHOUDHARY","451139","80880","CHANDRA PRAKASH CHOUDHARY","won
                            451139 (+ 80880)","AJSU Party"
"1719855997-10","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","1","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-2070.htm","0","240","1","Mirzapur(79)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2479.htm","ANUPRIYA PATEL","471631","37810","ANUPRIYA PATEL","won
                            471631 (+ 37810)","Apna Dal (Soneylal)"
"1719856002-11","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","1","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-2989.htm","0","240","1","Nagina(5)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S245.htm","CHANDRASHEKHAR","512552","151473","CHANDRASHEKHAR","won
                            512552 (+ 151473)","Aazad Samaj Party (Kanshi Ram)"
"1719856006-12","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","1","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-1046.htm","0","240","1","TIRUCHIRAPPALLI(24)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2224.htm","DURAI VAIKO","542213","313094","DURAI VAIKO","won
                            542213 (+ 313094)","Marumalarchi Dravida Munnetra Kazhagam"
"1719856010-13","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","1","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-1658.htm","0","240","1","Sikkim(1)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S211.htm","INDRA HANG SUBBA","164396","80830","INDRA HANG SUBBA","won
                            164396 (+ 80830)","Sikkim Krantikari Morcha"
"1719856015-14","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","1","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-3482.htm","0","240","1","BANSWARA (20)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2020.htm","RAJ KUMAR ROAT","820831","247054","RAJ KUMAR ROAT","won
                            820831 (+ 247054)","Bharat Adivasi Party"
"1719856019-15","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","1","https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-2484.htm","0","240","1","NAGAUR(14)","https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2014.htm","HANUMAN BENIWAL","596955","42225","HANUMAN BENIWAL","won
                            596955 (+ 42225)","Rashtriya Loktantrik Party"
